  112 2018-06-07 05:09:38.449603213    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=2890 Ack=429055 Win=252928 Len=0 TSval=50132556 TSecr=50136301 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
  113 2018-06-07 05:09:38.451055600    10.10.1.2 → 10.10.3.2    HTTP GET /mirai.sh4 HTTP/1.1  02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
  114 2018-06-07 05:09:38.451329736    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
  115 2018-06-07 05:09:38.451349262    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
  116 2018-06-07 05:09:38.451469216    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
  117 2018-06-07 05:09:38.451629751    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=3063 Ack=442087 Win=249600 Len=0 TSval=50132557 TSecr=50136302 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
  118 2018-06-07 05:09:38.451649553    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
  119 2018-06-07 05:09:38.453038599    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=3063 Ack=455119 Win=241152 Len=0 TSval=50132557 TSecr=50136302 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
  120 2018-06-07 05:09:38.453050614    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
  121 2018-06-07 05:09:38.453817353    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=3063 Ack=469599 Win=249600 Len=0 TSval=50132557 TSecr=50136302 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
  122 2018-06-07 05:09:38.453829510    10.10.3.2 → 10.10.1.2    HTTP HTTP/1.1 200 OK  02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
  123 2018-06-07 05:09:38.454899561    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=3063 Ack=482631 Win=249600 Len=0 TSval=50132557 TSecr=50136302 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
  124 2018-06-07 05:09:38.457446361    10.10.1.2 → 10.10.3.2    HTTP GET /mirai.spc HTTP/1.1  02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
  125 2018-06-07 05:09:38.457689441    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
  126 2018-06-07 05:09:38.457709671    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
  127 2018-06-07 05:09:38.457828771    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
  128 2018-06-07 05:09:38.457951444    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=3236 Ack=497053 Win=249600 Len=0 TSval=50132558 TSecr=50136303 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
  129 2018-06-07 05:09:38.457970837    10.10.3.2 → 10.10.1.2    TCP [TCP segment of a reassembled PDU] 02:b3:e0:46:2d:9f → 02:f4:35:e1:ea:ea
  130 2018-06-07 05:09:38.459303693    10.10.1.2 → 10.10.3.2    TCP 48608 → 80 [ACK] Seq=3236 Ack=510085 Win=241152 Len=0 TSval=50132558 TSecr=50136303 02:f4:35:e1:ea:ea → 02:b3:e0:46:2d:9f
